CIDL,代称,日冲策分,仓周类,月基带周,月基带日,月基策略,行业益盟,是宽基指数
sh600800,渤海化学,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),石油石化,
sh600801,华新建材,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),水泥,
sh600802,福建水泥,0.8,屎y,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),水泥,
sh600803,新奥股份,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),公用事业,
sh600805,悦达投资,1.9,屎z,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),综合行业,
sh600807,济高发展,1.9,屎y,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),医疗器械,
sh600808,马钢股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),钢铁,
sh600809,XD山西汾,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),酿酒,
sh600810,神马股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),化纤,
sh600812,华北制药,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),医药制造,
sh600814,杭州解百,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),零售业,
sh600815,厦工股份,1.9,尿y,(尿)▽(忠),(屎)○(忠)↗(上),NA(空看),工程机械,
sh600816,建元信托,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),多元金融,
sh600817,宇通重工,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),环境保护,
sh600818,ST中路,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),,
sh600819,耀皮玻璃,0.8,屎y,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),玻璃制造,
sh600820,XD隧道股,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),工程建筑,
sh600821,金开新能,0.8,尿y,(尿)▽(忠),(尿)▽(忑)▽(下),NA(空看),电力,
sh600822,上海物贸,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),贸易,
sh600824,益民集团,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),服装,
sh600825,新华传媒,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),文化传媒,
sh600826,兰生股份,1.3,屎y,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),贸易,
sh600827,百联股份,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),零售业,
sh600828,茂业商业,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),零售业,
sh600829,人民同泰,33,尿r,(尿)↗(忐),(屎)↗(忐)▲(上),NA(空看),医药流通,
sh600830,香溢融通,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),多元金融,
sh600831,广电网络,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),文化传媒,
sh600833,第一医药,1.3,屎y,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),医药流通,
sh600834,申通地铁,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),公共交通,
sh600835,上海机电,1.3,屎y,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),专用设备,
sh600838,上海九百,1.9,屎z,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),零售业,
sh600839,四川长虹,1.3,屎y,(屎)▽(忠),(屎)▽(忑)↗(忐),NA(空长),家电,
sh600841,动力新科,2.2,尿z,(尿)▽(忑),(尿)▽(忑)↗(忐),NA(空看),通用设备,
sh600843,上工申贝,1.3,屎y,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),轻工机械,
sh600844,金煤科技,86,银r,(银)▲(忐),(银)▲(忐)▲(上),多被(银),化学原料,
sh600845,宝信软件,1.3,屎y,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),软件开发,
sh600846,同济科技,7.1,尿r,(尿)↗(忐),(屎)↗(忐)○(中),NA(空看),工程建筑,
sh600847,万里股份,2.2,尿z,(尿)▽(忑),(尿)▽(忑)↗(忐),NA(空看),电池,
sh600848,上海临港,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),房地产,
sh600850,电科数字,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),软件服务,
sh600851,海欣股份,3,嘘z,(嘘)▽(忑),(嘘)↘(忑)○(忠),NA(空看),医药制造,
sh600853,龙建股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),工程建筑,
sh600854,春兰股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),房地产,
sh600855,航天长峰,1.3,尿z,(尿)▽(忑),(屎)▽(忑)↗(忐),NA(空看),航天国防,
sh600857,宁波中百,1.5,金c,(金)↘(下),(嘘)↘(下)▽(忑),多被(金),零售业,
sh600858,银座股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),零售业,
sh600859,王府井,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),零售业,
sh600860,京城股份,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),金属制品,
sh600861,北京人力,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),综合行业,
sh600862,中航高科,5.3,屎y,(屎)▽(忠),(屎)○(忠)↗(忐),NA(空长),航天国防,
sh600863,华能蒙电,85.1,金y,(金)↘(忠),(金)▲(忐)▲(上),多被(金),电力,
sh600864,哈投股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),证券期货,
sh600865,百大集团,1.9,屎y,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),零售业,
sh600866,星湖科技,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),化学制品,
sh600867,通化东宝,85.1,尿r,(尿)↗(忐),(金)▲(忐)▲(上),NA(空看),生物制品,
sh600868,梅雁吉祥,1.9,屎y,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),电力,
sh600869,远东股份,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),高低压设备,
sh600871,石化油服,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),采掘服务业,
sh600872,中炬高新,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),食品加工,
sh600873,梅花生物,0.9,屎y,(屎)▽(忠),(屎)○(忠)↘(下),NA(空长),化学制品,
sh600874,创业环保,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),公用事业,
sh600875,东方电气,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),电源设备,
sh600876,凯盛新能,0.8,屎y,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),玻璃制造,
sh600877,电科芯片,0.5,尿y,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),半导体,
sh600879,航天电子,0.1,尿y,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),航天国防,
sh600880,博瑞传播,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),教育,
sh600881,亚泰集团,28.8,银a,(银)▲(上),(银)▲(上)○(中),多被(银),水泥,
sh600882,妙可蓝多,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),食品加工,
sh600883,博闻科技,1.3,屎z,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),农林,
sh600884,杉杉股份,1.3,尿z,(尿)▽(忑),(尿)▽(忑)↗(上),NA(空看),电池,
sh600885,宏发股份,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(不定),高低压设备,
sh600886,国投电力,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),电力,
sh600887,伊利股份,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),食品加工,
sh600888,新疆众和,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),有色金属,
sh600889,*ST京化,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),,
sh600892,大晟文化,1.9,屎z,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),,
sh600893,航发动力,0.6,屎z,(屎)▽(忑),(屎)▽(忑)○(中),NA(空长),航天国防,
sh600894,广日股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),专用设备,
sh600895,张江高科,1.9,尿y,(尿)▽(忑),(屎)○(忠)↗(上),NA(空看),房地产,
sh600897,厦门空港,33,尿y,(尿)▽(忠),(屎)↗(忐)▲(上),NA(空看),机场,
sh600900,长江电力,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(积极),电力,
sh600901,江苏金租,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),多元金融,
sh600903,贵州燃气,2.2,尿z,(尿)▽(忑),(尿)▽(忑)↗(忐),NA(空看),公用事业,
sh600905,三峡能源,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),电力,
sh600906,XD财达证,1.8,尿c,(尿)▽(下),(尿)▽(下)▽(忑),NA(空看),证券期货,
sh600908,无锡银行,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),银行,
sh600909,华安证券,2,金c,(金)↘(下),(金)↘(下)▽(忑),多被(金),证券期货,
sh600916,中国黄金,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),轻工产品,
sh600917,重庆燃气,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),公用事业,
sh600918,中泰证券,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),证券期货,
sh600919,江苏银行,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(积极),银行,
sh600925,苏能股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),煤炭开采,
sh600926,杭州银行,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),银行,
sh600927,永安期货,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),证券期货,
sh600928,西安银行,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),银行,
sh600929,雪天盐业,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),化学原料,
sh600930,华电新能,0.4,屎y,(屎)▽(忑),(屎)▽(忑)○(忠),NA(空长),电力,
sh600933,爱柯迪,1.3,屎y,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),汽车零部件,
sh600935,华塑股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),化学原料,
sh600936,北投科技,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),文化传媒,
sh600938,中国海油,74.2,嘘r,(嘘)↗(忐),(嘘)↗(忐)▲(上),NA(空看),采掘服务业,
sh600939,重庆建工,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),工程建筑,
sh600941,中国移动,80.9,唏a,(唏)↗(上),(银)▲(上)▲(上),多被(唏),通信服务,
sh600955,维远股份,0.4,屎z,(屎)▽(忑),(屎)▽(忑)○(忠),NA(空长),化学原料,
sh600956,新天绿能,1.9,尿y,(尿)▽(忠),(屎)○(忠)↗(上),NA(空看),电力,
sh600958,东方证券,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),证券期货,
sh600959,江苏有线,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),文化传媒,
sh600960,渤海汽车,1.9,屎z,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),汽车零部件,
sh600961,株冶集团,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),有色金属,
sh600962,国投中鲁,85.1,金z,(金)↘(忑),(金)▲(忐)▲(上),多被(金),饮料制造,
sh600963,岳阳林纸,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),造纸,
sh600965,*ST福成,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),,
sh600966,博汇纸业,1.9,屎z,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),造纸,
sh600967,内蒙一机,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),航天国防,
sh600968,海油发展,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),采掘服务业,
sh600969,郴电国际,1.3,尿z,(尿)▽(忑),(尿)▽(忑)↗(上),NA(空看),电力,
sh600970,中材国际,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),工程建筑,
sh600971,恒源煤电,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),煤炭开采,
sh600973,宝胜股份,2.2,尿z,(尿)▽(忑),(尿)▽(忑)↗(忐),NA(空看),高低压设备,
sh600975,新五丰,5.3,屎y,(屎)▽(忠),(屎)○(忠)↗(忐),NA(空长),牧渔,
sh600976,健民集团,0.4,屎y,(屎)▽(忑),(屎)▽(忑)○(忠),NA(空长),中药,
sh600977,中国电影,1.3,尿y,(尿)▽(忑),(屎)▽(忑)↗(忐),NA(空看),影视动漫,
sh600979,广安爱众,1.3,屎z,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),电力,
sh600980,北矿科技,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),专用设备,
sh600981,苏豪汇鸿,1.9,屎y,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),贸易,
sh600982,宁波能源,33.9,嘘z,(嘘)▽(忑),(嘘)○(忠)↗(上),NA(空看),公用事业,
sh600983,惠而浦,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),家电,
sh600984,建设机械,74.2,尿y,(尿)▽(忠),(嘘)↗(忐)▲(上),NA(空看),工程机械,
sh600985,淮北矿业,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(不定),煤炭开采,
sh600986,浙文互联,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),营销传播,
sh600987,航民股份,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),纺织,
sh600988,赤峰黄金,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),黄金,
sh600989,宝丰能源,74.2,嘘y,(嘘)▽(忠),(嘘)↗(忐)▲(上),NA(空看),化学原料,
sh600990,四创电子,0.8,屎y,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),航天国防,
sh600992,贵绳股份,0.1,屎y,(屎)▽(忑),(屎)▽(忑)▽(忑),NA(空长),金属制品,
sh600993,马应龙,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),中药,
sh600995,南网储能,5.3,嘘y,(嘘)▽(忠),(尿)○(忠)↗(上),NA(空看),电力,
sh600996,贵广网络,0.8,屎y,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),文化传媒,
sh600997,开滦股份,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),煤炭开采,
sh600998,九州通,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),医药流通,
sh600999,招商证券,2,金c,(金)↘(下),(金)↘(下)▽(忑),多被(金),证券期货,
sh601000,唐山港,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),港口,
sh601001,晋控煤业,0.8,嘘z,(嘘)▽(忑),(嘘)↘(忑)▽(忑),NA(空看),煤炭开采,
sh601002,晋亿实业,1.9,尿y,(尿)▽(忠),(屎)○(忠)↗(上),NA(空看),通用设备,
sh601003,柳钢股份,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),钢铁,
sh601005,重庆钢铁,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),钢铁,
sh601006,大秦铁路,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),铁路运输,
sh601007,金陵饭店,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),酒店餐饮,
sh601008,连云港,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),港口,
sh601009,南京银行,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),银行,
sh601010,ST文峰,1.3,屎y,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),,
sh601011,宝泰隆,0.8,屎y,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),煤炭开采,
sh601012,隆基绿能,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),光伏设备,
sh601015,陕西黑猫,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),煤炭开采,
sh601016,节能风电,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),电力,
sh601018,宁波港,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),港口,
sh601019,山东出版,84.1,屎r,(屎)↗(忐),(唏)↗(忐)▲(上),NA(空看),文化传媒,
sh601020,华钰矿业,1.3,尿y,(尿)▽(忑),(屎)▽(忑)↗(忐),NA(空看),有色金属,
sh601021,春秋航空,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),航空运输,
sh601022,宁波远洋,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),水上运输,
sh601026,道生天合,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),化学制品,
sh601033,永兴股份,86,唏r,(唏)↗(忐),(银)▲(忐)▲(上),多被(唏),环境保护,
sh601038,一拖股份,28.8,银a,(银)▲(上),(银)▲(上)○(中),多被(银),农业服务,
sh601058,赛轮轮胎,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),橡胶,
sh601059,信达证券,26.5,屎r,(屎)↗(忐),(屎)↗(忐)▲(忐),NA(空看),证券期货,
sh601061,中信金属,49.1,尿y,(尿)▽(忠),(尿)↗(忐)▲(上),NA(空看),贸易,
sh601065,江盐集团,1.9,屎z,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),化学原料,
sh601066,中信建投,2,金b,(金)↘(中),(金)↘(下)▽(忑),多长(消极),证券期货,
sh601068,中铝国际,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),工程建筑,
sh601069,西部黄金,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),黄金,
sh601077,渝农商行,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),银行,
sh601083,锦江航运,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(消极),水上运输,
sh601086,国芳集团,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),零售业,
sh601088,中国神华,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(消极),煤炭开采,
sh601089,福元医药,1.3,屎y,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),医药制造,
sh601096,宏盛华源,1.9,尿z,(尿)▽(忑),(屎)○(忠)↗(上),NA(空看),工程建筑,
sh601098,中南传媒,86,唏r,(唏)↗(忐),(银)▲(忐)▲(上),多被(唏),文化传媒,
sh601099,太平洋,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),证券期货,
sh601100,恒立液压,13.7,嘘z,(嘘)▽(忑),(嘘)↘(忑)↗(忐),NA(空看),通用设备,
sh601101,昊华能源,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(不定),煤炭开采,
sh601106,中国一重,1.3,尿y,(尿)▽(忑),(尿)▽(忑)↗(上),NA(空看),重型机械,
sh601107,四川成渝,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),高速公路,
sh601108,财通证券,8.6,金b,(金)↘(中),(金)↘(下)○(忠),多长(消极),证券期货,
sh601111,中国国航,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),航空运输,
sh601113,华鼎股份,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),化纤,
sh601116,三江购物,1.9,屎z,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),零售业,
sh601117,中国化学,49.1,尿y,(尿)▽(忠),(尿)↗(忐)▲(上),NA(空看),工程建筑,
sh601118,海南橡胶,0.8,尿z,(尿)▽(忑),(屎)▽(忑)↗(上),NA(空看),农林,
sh601121,宝地矿业,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),其他采掘,
sh601126,四方股份,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),电气智能化设备,
sh601127,赛力斯,1.9,屎z,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),汽车制造,
sh601128,常熟银行,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),银行,
sh601133,柏诚股份,1.5,嘘c,(嘘)▽(下),(嘘)↘(下)▽(忑),NA(空看),工程建筑,
sh601136,首创证券,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),证券期货,
sh601137,博威合金,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),新材料,
sh601138,工业富联,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),电子设备,
sh601139,深圳燃气,86,银r,(银)▲(忐),(银)▲(忐)▲(上),多被(银),公用事业,
sh601155,新城控股,1,屎y,(屎)▽(忠),(屎)○(忠)○(中),NA(空长),房地产,
sh601156,东航物流,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),仓储物流,
sh601158,重庆水务,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),公用事业,
sh601162,天风证券,49.5,屎a,(屎)↗(上),(屎)↗(上)▲(忐),NA(空看),证券期货,
sh601163,三角轮胎,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),橡胶,
sh601166,兴业银行,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),银行,
sh601168,西部矿业,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),有色金属,
sh601169,北京银行,80.9,唏a,(唏)↗(上),(银)▲(上)▲(上),多被(唏),银行,
sh601177,杭齿前进,1.3,屎z,(屎)▽(忑),(屎)▽(忑)↗(忐),NA(空长),通用设备,
sh601179,中国西电,7.3,嘘z,(嘘)▽(忑),(嘘)↘(忑)○(中),NA(空看),高低压设备,
sh601186,中国铁建,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),工程建筑,
sh601187,厦门银行,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),银行,
sh601188,龙江交通,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),高速公路,
sh601198,东兴证券,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),证券期货,
sh601199,江南水务,0.5,尿z,(尿)▽(忑),(尿)▽(忑)○(忠),NA(空看),公用事业,
sh601200,上海环境,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),环境保护,
sh601208,东材科技,0.1,嘘z,(嘘)▽(忑),(尿)▽(忑)▽(忑),NA(空看),塑料,
sh601211,国泰海通,15.4,银a,(银)▲(上),(银)▲(上)↘(下),多被(银),证券期货,
sh601212,白银有色,1.3,尿z,(尿)▽(忑),(尿)▽(忑)↗(上),NA(空看),有色金属,
sh601216,君正集团,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),化学原料,
sh601218,吉鑫科技,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),风电设备,
sh601222,林洋能源,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),电力,
sh601225,陕西煤业,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(不定),煤炭开采,
sh601226,华电科工,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),工程建筑,
sh601228,广州港,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),港口,
sh601229,上海银行,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),银行,
sh601231,环旭电子,0.1,尿z,(尿)▽(忑),(尿)▽(忑)▽(忑),NA(空看),消费电子,
sh601233,桐昆股份,82.4,金b,(金)▲(上),(金)▲(上)▲(上),多长(不定),化纤,
sh601236,红塔证券,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),证券期货,
sh601238,广汽集团,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),汽车制造,
sh601279,英利汽车,1.9,屎y,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),汽车零部件,
sh601288,农业银行,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),银行,
sh601298,青岛港,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),港口,
sh601311,骆驼股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),电池,
sh601318,中国平安,86,屎r,(屎)↗(忐),(银)▲(忐)▲(上),NA(空看),保险,
sh601319,XD中国人,80.8,屎a,(屎)↗(上),(唏)↗(上)▲(上),NA(空看),保险,
sh601326,秦港股份,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),港口,
sh601328,交通银行,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),银行,
sh601330,绿色动力,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),环境保护,
sh601333,广深铁路,80.9,银a,(银)▲(上),(银)▲(上)▲(上),多被(银),铁路运输,
sh601336,新华保险,15.5,嘘a,(嘘)↗(上),(尿)○(中)↘(忑),NA(空看),保险,
sh601339,百隆东方,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(消极),纺织,
sh601360,三六零,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),软件开发,
sh601366,利群股份,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),零售业,
sh601368,绿城水务,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),公用事业,
sh601369,陕鼓动力,85.1,嘘r,(嘘)↗(忐),(金)▲(忐)▲(上),NA(空看),专用设备,
sh601375,中原证券,80.8,唏a,(唏)↗(上),(唏)↗(上)▲(上),多被(唏),证券期货,
sh601377,XD兴业证,49.5,屎a,(屎)↗(上),(屎)↗(上)▲(忐),NA(空看),证券期货,
sh601388,怡球资源,5.3,尿y,(尿)▽(忠),(尿)○(忠)↗(上),NA(空看),有色金属,
sh601390,XD中国中,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),工程建筑,
sh601398,工商银行,82.4,金a,(金)▲(上),(金)▲(上)▲(上),多长(积极),银行,
sh601399,国机重装,1.9,尿z,(尿)▽(忑),(屎)○(忠)↗(上),NA(空看),专用设备,
sh601456,国联民生,1.9,屎y,(屎)▽(忠),(屎)○(忠)↗(上),NA(空长),证券期货,
sh601500,通用股份,33,屎y,(屎)▽(忠),(屎)↗(忐)▲(上),NA(空长),橡胶,
sh601512,中新集团,1.9,尿y,(尿)▽(忠),(屎)○(忠)↗(上),NA(空看),房地产,
sh601515,衢州东峰,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),包装印刷,
sh601518,吉林高速,85.1,金r,(金)▲(忐),(金)▲(忐)▲(上),多长(不定),高速公路,
sh601519,大智慧,1.9,屎y,(屎)▽(忑),(屎)○(忠)↗(上),NA(空长),软件开发,
sh601528,瑞丰银行,86,唏r,(唏)↗(忐),(银)▲(忐)▲(上),多被(唏),银行,
sh601555,东吴证券,33,屎r,(屎)↗(忐),(屎)↗(忐)▲(上),NA(空看),证券期货,
sh601566,九牧王,0.8,屎z,(屎)▽(忑),(屎)▽(忑)↗(上),NA(空长),服装,
