DXAB=a甲↗上1.I | 护型=甲 | 日ZA=1
DXAB=y戊↘忠-24.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-25.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-26.B3 | 护型=戊 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上5.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上6.A9 | 护型=甲 | 日ZA=9
DXAB=b乙→中7.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下8.Z-2 | 护型=丙 | 日ZA=-2
DXAB=z丁↘忑-1.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-2.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-3.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-4.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-5.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-6.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-7.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-8.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-9.Z-11 | 护型=丁 | 日ZA=-11
DXAB=y戊↘忠-10.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-11.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-12.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忠-13.A4 | 护型=戊 | 日ZA=4
DXAB=y戊↘忑-14.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-15.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-16.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-17.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-18.Z-5 | 护型=戊 | 日ZA=-5
DXAB=r己↗忐-19.I | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上4.A5 | 护型=甲 | 日ZA=5
DXAB=b乙→中5.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下6.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下7.Z-3 | 护型=丙 | 日ZA=-3
DXAB=z丁↘忑-1.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-2.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-3.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-4.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-5.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-6.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-7.Z-10 | 护型=丁 | 日ZA=-10
DXAB=y戊↘忠-8.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-9.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-10.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-11.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=r己↗忐-12.I暂 | 护型=己 | 日ZA=1
DXAB=r己↗忐-13.B2暂 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上5.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上6.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上7.A9 | 护型=甲 | 日ZA=9
DXAB=a甲↗上8.A10 | 护型=甲 | 日ZA=10
DXAB=a甲↗上9.A11 | 护型=甲 | 日ZA=11
DXAB=a甲↗上10.A12 | 护型=甲 | 日ZA=12
DXAB=a甲↗上11.A13 | 护型=甲 | 日ZA=13
DXAB=a甲↗上12.A14 | 护型=甲 | 日ZA=14
DXAB=a甲↗上13.A15 | 护型=甲 | 日ZA=15
DXAB=a甲↗上14.A16 | 护型=甲 | 日ZA=16
DXAB=b乙→中15.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上16.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙→中17.Y暂 | 护型=乙 | 日ZA=-1
DXAB=b乙→中18.Z-2暂 | 护型=乙 | 日ZA=-2
DXAB=c丙↘下19.Z-3暂 | 护型=丙 | 日ZA=-3
DXAB=b乙↗上20.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙→中21.Y暂 | 护型=乙 | 日ZA=-1
DXAB=c丙↘下22.Z-2暂 | 护型=丙 | 日ZA=-2
DXAB=z丁↘忑-1.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-2.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-3.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-4.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-5.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-6.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-7.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-8.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-9.Z-11 | 护型=丁 | 日ZA=-11
DXAB=r己↗忐-10.I | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
DXAB=c丙↘下4.Y | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-5.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-6.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-7.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-8.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-9.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-10.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-11.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-12.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-13.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-14.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-15.Z-16 | 护型=丁 | 日ZA=-16
DXAB=z丁↘忑-16.Z-17 | 护型=丁 | 日ZA=-17
DXAB=y戊↘忠-17.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-18.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-19.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忠-20.A4 | 护型=戊 | 日ZA=4
DXAB=y戊↘忠-21.A5 | 护型=戊 | 日ZA=5
DXAB=y戊↘忠-22.A6 | 护型=戊 | 日ZA=6
DXAB=y戊↘忠-23.A7 | 护型=戊 | 日ZA=7
DXAB=y戊↘忑-24.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-25.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忠-26.I暂 | 护型=戊 | 日ZA=1
DXAB=r己↗忐-27.B2暂 | 护型=己 | 日ZA=2
DXAB=a甲↗上1.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上5.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上6.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上7.A9 | 护型=甲 | 日ZA=9
DXAB=a甲↗上8.A10 | 护型=甲 | 日ZA=10
DXAB=a甲↗上9.A11 | 护型=甲 | 日ZA=11
DXAB=b乙→中10.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上11.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上12.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙→中13.Y暂 | 护型=乙 | 日ZA=-1
DXAB=b乙→中14.Z-2暂 | 护型=乙 | 日ZA=-2
DXAB=b乙→中15.Z-3暂 | 护型=乙 | 日ZA=-3
DXAB=b乙→中16.Z-4 | 护型=乙 | 日ZA=-4
DXAB=b乙→中17.Z-5 | 护型=乙 | 日ZA=-5
DXAB=b乙→中18.Z-6 | 护型=乙 | 日ZA=-6
DXAB=c丙↘下19.Z-7 | 护型=丙 | 日ZA=-7
DXAB=z丁↘忑-1.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-2.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-3.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-4.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-5.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-6.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-7.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-8.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-9.Z-16 | 护型=丁 | 日ZA=-16
DXAB=y戊↘忠-10.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忑-11.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-12.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-13.Z-3暂 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-14.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-15.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-16.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-17.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-18.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忠-19.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-20.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-21.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忠-22.A4 | 护型=戊 | 日ZA=4
DXAB=y戊↘忑-23.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-24.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-25.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-26.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-27.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-28.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-29.Z-7 | 护型=戊 | 日ZA=-7
DXAB=y戊↘忑-30.Z-8 | 护型=戊 | 日ZA=-8
DXAB=y戊↘忑-31.Z-9 | 护型=戊 | 日ZA=-9
DXAB=y戊↘忑-32.Z-10 | 护型=戊 | 日ZA=-10
DXAB=y戊↘忑-33.Z-11 | 护型=戊 | 日ZA=-11
DXAB=y戊↘忑-34.Z-12 | 护型=戊 | 日ZA=-12
DXAB=y戊↘忑-35.Z-13 | 护型=戊 | 日ZA=-13
DXAB=y戊↘忠-36.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-37.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-38.B3 | 护型=戊 | 日ZA=3
DXAB=r己↗忐-39.A4 | 护型=己 | 日ZA=4
DXAB=y戊↘忑-40.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-41.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-42.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忠-43.I暂 | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-44.B2暂 | 护型=戊 | 日ZA=2
DXAB=a甲↗上1.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上2.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上3.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上4.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上5.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上6.A8 | 护型=甲 | 日ZA=8
DXAB=a甲↗上7.A9 | 护型=甲 | 日ZA=9
DXAB=a甲↗上8.A10 | 护型=甲 | 日ZA=10
DXAB=a甲↗上9.A11 | 护型=甲 | 日ZA=11
DXAB=b乙→中10.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中11.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙↗上12.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上13.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上14.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上15.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上16.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上17.A6 | 护型=乙 | 日ZA=6
DXAB=b乙→中18.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上19.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙→中20.Y暂 | 护型=乙 | 日ZA=-1
DXAB=b乙→中21.Z-2暂 | 护型=乙 | 日ZA=-2
DXAB=c丙↘下22.Z-3暂 | 护型=丙 | 日ZA=-3
DXAB=b乙↗上23.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上24.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙→中25.Y暂 | 护型=乙 | 日ZA=-1
DXAB=b乙→中26.Z-2暂 | 护型=乙 | 日ZA=-2
DXAB=c丙↘下27.Z-3暂 | 护型=丙 | 日ZA=-3
DXAB=z丁↘忑-1.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-2.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-3.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-4.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-5.Z-8 | 护型=丁 | 日ZA=-8
DXAB=y戊↘忠-6.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-7.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-8.Y暂 | 护型=戊 | 日ZA=-1
DXAB=r己↗忐-9.I暂 | 护型=己 | 日ZA=1
DXAB=y戊↘忠-10.B2暂 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-11.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-12.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=a甲↗上1.I暂 | 护型=甲 | 日ZA=1
DXAB=a甲↗上2.B2暂 | 护型=甲 | 日ZA=2
DXAB=a甲↗上3.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上4.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上5.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上6.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上7.A7 | 护型=甲 | 日ZA=7
DXAB=b乙→中8.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下9.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下10.Z-3 | 护型=丙 | 日ZA=-3
DXAB=z丁↘忑-1.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-2.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-3.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-4.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-5.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-6.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-7.Z-10 | 护型=丁 | 日ZA=-10
DXAB=y戊↘忠-8.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-9.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-10.B3 | 护型=己 | 日ZA=3
DXAB=r己↗忐-11.A4 | 护型=己 | 日ZA=4
DXAB=a甲↗上1.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上2.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上3.A7 | 护型=甲 | 日ZA=7
DXAB=b乙→中4.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下5.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下6.Z-3 | 护型=丙 | 日ZA=-3
DXAB=z丁↘忑-1.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-2.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-3.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-4.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-5.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-6.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-7.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-8.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-9.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-10.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-11.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-12.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-13.Z-16 | 护型=丁 | 日ZA=-16
DXAB=z丁↘忑-14.Z-17 | 护型=丁 | 日ZA=-17
DXAB=z丁↘忑-15.Z-18 | 护型=丁 | 日ZA=-18
DXAB=z丁↘忑-16.Z-19 | 护型=丁 | 日ZA=-19
DXAB=y戊↘忠-17.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-18.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忠-19.B3 | 护型=戊 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=a甲↗上5.A8 | 护型=甲 | 日ZA=8
DXAB=b乙→中6.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中7.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中8.Z-3 | 护型=乙 | 日ZA=-3
DXAB=b乙→中9.Z-4 | 护型=乙 | 日ZA=-4
DXAB=c丙↘下10.Z-5 | 护型=丙 | 日ZA=-5
DXAB=c丙↘下11.Z-6 | 护型=丙 | 日ZA=-6
DXAB=c丙↘下12.Z-7 | 护型=丙 | 日ZA=-7
DXAB=z丁↘忑-1.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-2.Z-9 | 护型=丁 | 日ZA=-9
DXAB=z丁↘忑-3.Z-10 | 护型=丁 | 日ZA=-10
DXAB=z丁↘忑-4.Z-11 | 护型=丁 | 日ZA=-11
DXAB=z丁↘忑-5.Z-12 | 护型=丁 | 日ZA=-12
DXAB=z丁↘忑-6.Z-13 | 护型=丁 | 日ZA=-13
DXAB=z丁↘忑-7.Z-14 | 护型=丁 | 日ZA=-14
DXAB=z丁↘忑-8.Z-15 | 护型=丁 | 日ZA=-15
DXAB=z丁↘忑-9.Z-16 | 护型=丁 | 日ZA=-16
DXAB=z丁↘忑-10.Z-17 | 护型=丁 | 日ZA=-17
DXAB=z丁↘忑-11.Z-18 | 护型=丁 | 日ZA=-18
DXAB=z丁↘忑-12.Z-19 | 护型=丁 | 日ZA=-19
DXAB=z丁↘忑-13.Z-20 | 护型=丁 | 日ZA=-20
DXAB=z丁↘忑-14.Z-21 | 护型=丁 | 日ZA=-21
DXAB=z丁↘忑-15.Z-22 | 护型=丁 | 日ZA=-22
DXAB=z丁↘忑-16.Z-23 | 护型=丁 | 日ZA=-23
DXAB=z丁↘忑-17.Z-24 | 护型=丁 | 日ZA=-24
DXAB=z丁↘忑-18.Z-25 | 护型=丁 | 日ZA=-25
DXAB=z丁↘忑-19.Z-26 | 护型=丁 | 日ZA=-26
DXAB=z丁↘忑-20.Z-27 | 护型=丁 | 日ZA=-27
DXAB=r己↗忐-21.I | 护型=己 | 日ZA=1
DXAB=r己↗忐-22.B2 | 护型=己 | 日ZA=2
DXAB=r己↗忐-23.B3 | 护型=己 | 日ZA=3
DXAB=a甲↗上1.A4 | 护型=甲 | 日ZA=4
DXAB=a甲↗上2.A5 | 护型=甲 | 日ZA=5
DXAB=a甲↗上3.A6 | 护型=甲 | 日ZA=6
DXAB=a甲↗上4.A7 | 护型=甲 | 日ZA=7
DXAB=b乙→中5.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上6.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上7.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上8.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上9.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上10.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上11.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上12.A7 | 护型=乙 | 日ZA=7
DXAB=b乙↗上13.A8 | 护型=乙 | 日ZA=8
DXAB=b乙→中14.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中15.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙↗上16.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上17.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上18.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上19.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上20.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上21.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上22.A7 | 护型=乙 | 日ZA=7
DXAB=b乙↗上23.A8 | 护型=乙 | 日ZA=8
DXAB=b乙→中24.Y | 护型=乙 | 日ZA=-1
DXAB=b乙→中25.Z-2 | 护型=乙 | 日ZA=-2
DXAB=b乙→中26.Z-3 | 护型=乙 | 日ZA=-3
DXAB=b乙↗上27.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上28.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上29.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上30.A4 | 护型=乙 | 日ZA=4
DXAB=b乙→中31.Y | 护型=乙 | 日ZA=-1
DXAB=b乙↗上32.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上33.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上34.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上35.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上36.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上37.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上38.A7 | 护型=乙 | 日ZA=7
DXAB=c丙↘下39.Y | 护型=丙 | 日ZA=-1
DXAB=c丙↘下40.Z-2 | 护型=丙 | 日ZA=-2
DXAB=c丙↘下41.Z-3 | 护型=丙 | 日ZA=-3
DXAB=b乙↗上42.I暂 | 护型=乙 | 日ZA=1
DXAB=b乙↗上43.B2暂 | 护型=乙 | 日ZA=2
DXAB=b乙↗上44.B3暂 | 护型=乙 | 日ZA=3
DXAB=b乙↗上45.A4 | 护型=乙 | 日ZA=4
DXAB=b乙↗上46.A5 | 护型=乙 | 日ZA=5
DXAB=b乙↗上47.A6 | 护型=乙 | 日ZA=6
DXAB=b乙↗上48.A7 | 护型=乙 | 日ZA=7
DXAB=b乙→中49.Y | 护型=乙 | 日ZA=-1
DXAB=c丙↘下50.Z-2 | 护型=丙 | 日ZA=-2
DXAB=z丁↘忑-1.Z-3 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-2.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-3.Z-5 | 护型=丁 | 日ZA=-5
DXAB=z丁↘忑-4.Z-6 | 护型=丁 | 日ZA=-6
DXAB=z丁↘忑-5.Z-7 | 护型=丁 | 日ZA=-7
DXAB=z丁↘忑-6.Z-8 | 护型=丁 | 日ZA=-8
DXAB=z丁↘忑-7.Z-9 | 护型=丁 | 日ZA=-9
DXAB=y戊↘忠-8.I | 护型=戊 | 日ZA=1
DXAB=r己↗忐-9.B2 | 护型=己 | 日ZA=2
DXAB=y戊↘忠-10.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忠-11.A4 | 护型=戊 | 日ZA=4
DXAB=r己↗忐-12.A5 | 护型=己 | 日ZA=5
DXAB=y戊↘忠-13.A6 | 护型=戊 | 日ZA=6
DXAB=y戊↘忑-14.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-15.Z-2 | 护型=戊 | 日ZA=-2
DXAB=y戊↘忑-16.Z-3 | 护型=戊 | 日ZA=-3
DXAB=y戊↘忑-17.Z-4 | 护型=戊 | 日ZA=-4
DXAB=y戊↘忑-18.Z-5 | 护型=戊 | 日ZA=-5
DXAB=y戊↘忑-19.Z-6 | 护型=戊 | 日ZA=-6
DXAB=y戊↘忑-20.Z-7 | 护型=戊 | 日ZA=-7
DXAB=r己↗忐-21.I | 护型=己 | 日ZA=1
DXAB=r己↗忐-22.B2 | 护型=己 | 日ZA=2
DXAB=y戊↘忠-23.B3 | 护型=戊 | 日ZA=3
DXAB=y戊↘忠-24.A4 | 护型=戊 | 日ZA=4
DXAB=r己↗忐-25.A5 | 护型=己 | 日ZA=5
DXAB=r己↗忐-26.A6 | 护型=己 | 日ZA=6
DXAB=y戊↘忠-27.A7 | 护型=戊 | 日ZA=7
DXAB=y戊↘忑-28.Y | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-29.Z-2 | 护型=戊 | 日ZA=-2
DXAB=r己↗忐-30.I暂 | 护型=己 | 日ZA=1
DXAB=y戊↘忑-31.Y暂 | 护型=戊 | 日ZA=-1
DXAB=a甲↗上1.I暂 | 护型=甲 | 日ZA=1
DXAB=a甲↗上2.B2暂 | 护型=甲 | 日ZA=2
DXAB=c丙↘下3.Y暂 | 护型=丙 | 日ZA=-1
DXAB=z丁↘忑-1.Z-2暂 | 护型=丁 | 日ZA=-2
DXAB=z丁↘忑-2.Z-3暂 | 护型=丁 | 日ZA=-3
DXAB=z丁↘忑-3.Z-4 | 护型=丁 | 日ZA=-4
DXAB=z丁↘忑-4.Z-5 | 护型=丁 | 日ZA=-5
DXAB=y戊↘忠-5.I | 护型=戊 | 日ZA=1
DXAB=y戊↘忠-6.B2 | 护型=戊 | 日ZA=2
DXAB=y戊↘忑-7.Y暂 | 护型=戊 | 日ZA=-1
DXAB=y戊↘忑-8.Z-2暂 | 护型=戊 | 日ZA=-2
DXAB=r己↗忐-9.I暂 | 护型=己 | 日ZA=1
DXAB=a甲↗上1.B2暂 | 护型=甲 | 日ZA=2
DXAB=a甲↗上2.B3暂 | 护型=甲 | 日ZA=3
DXAB=a甲↗上3.A4 | 护型=甲 | 日ZA=4
